30/05/2015,04/07/2015,05/09/2015,26/09/2015,17/10/2015,28/11/2015,19/12/2015,25/01/2016,15/03/2016,14/05/2016,09/07/2016,10/09/2016,20/01/2017,16/03/2017,06/04/2017,29/06/2017,08/09/2017,15/11/2017,23/12/2017,23/02/2018,19/05/2018,11/08/2018,20/10/2018,09/03/2019,01/06/2019,03/08/2019
CPOM,CPOM,CPOM,CPOM,CPOM,CPOM,CPOM,CPOM,CPOM,CPOM,CPOM,CPOM,CPOM,CPOM,CPOM,CPOM,CPOM,CPOM,CPOM,CPOM,CPOM,CPOM,CPOM,CPOM,CPOM,CPOM
FPOM,FPOM,FPOM,FPOM,FPOM,FPOM,FPOM,FPOM,FPOM,FPOM,FPOM,FPOM,FPOM,FPOM,FPOM,FPOM,FPOM,FPOM,FPOM,FPOM,FPOM,FPOM,FPOM,FPOM,FPOM,FPOM
DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM
Bacterioplankton,Bacterioplankton,Bacterioplankton,Bacterioplankton,Bacterioplankton,Bacterioplankton,Bacterioplankton,Bacterioplankton,Bacterioplankton,Bacterioplankton,Bacterioplankton,Bacterioplankton,Bacterioplankton,Bacterioplankton,Bacterioplankton,Bacterioplankton,Bacterioplankton,Bacterioplankton,Bacterioplankton,Bacterioplankton,Bacterioplankton,Bacterioplankton,Bacterioplankton,Bacterioplankton,Bacterioplankton,Bacterioplankton
Periphyton,Periphyton,Periphyton,Periphyton,Periphyton,Periphyton,Periphyton,Periphyton,Periphyton,Periphyton,Periphyton,Periphyton,Periphyton,Periphyton,Periphyton,Periphyton,Periphyton,Periphyton,Periphyton,Periphyton,Periphyton,Periphyton,Periphyton,Periphyton,Periphyton,Periphyton
Pediastrum,Pediastrum,Pediastrum,Pediastrum,Pediastrum,Pediastrum,Pediastrum,Pediastrum,Pediastrum,Pediastrum,Pediastrum,Pediastrum,Pediastrum,Pediastrum,Pediastrum,Pediastrum,Pediastrum,Pediastrum,Scenedesmus,Euglena,Euglena,Closterium,Phacus,Scenedesmus,Pediastrum,Pediastrum
Chlorella,Chlorella,Chlorella,Scenedesmus,Chlorella,Chlorella,Scenedesmus,Chlorella,Scenedesmus,Scenedesmus,Chlorella,Scenedesmus,Scenedesmus,Scenedesmus,Chlorella,Scenedesmus,Scenedesmus,Coeleastrum,Tetrastrum,Traechelomonas,Traechelomonas,Tetrastrum,Euglena,Phacus,Scenedesmus,Scenedesmus
Scenedesmus,Scenedesmus,Scenedesmus,Closterium,Scenedesmus,Scenedesmus,Phacus,Scenedesmus,Closterium,Closterium,Scenedesmus,Eudorina,Coeleastrum,Staurastrum,Scenedesmus,Phacus,Tetrastrum,Tetrastrum,Schroederia,Strombomonas,Oligochaeta,Traechelomonas,Traechelomonas,Euglena,Phacus,Phacus
Coeleastrum,Coeleastrum,Phacus,Eudorina,Scenedesmus,Phacus,Euglena,Staurastrum,Phacus,Dyctiosphaerium,Phacus,Crucigenia,Closterium,Eudorina,Staurastrum,Euglena,Ankyra,Euglena,Phacus,Navícula,Ampullaridae,Strombomonas,Hirudinea,Traechelomonas,Euglena,Euglena
Closterium,Mougeotia,Euglena,Phacus,Coeleastrum,Euglena,Navícula,Eudorina,Euglena,Phacus,Euglena,Phacus,Dyctiosphaerium,Tetrastrum,Tetrastrum,Traechelomonas,Phacus,Traechelomonas,Euglena,Fragilaria,Corbiculidae,Oligochaeta,Oligochaeta,Strombomonas,Traechelomonas,Navícula
Phacus,Phacus,Traechelomonas,Euglena,Closterium,Leponcinclis,Gomphonema,Crucigenia,Pinnularia,Euglena,Traechelomonas,Euglena,Starurastrum,Staurodesmus,Tetraedron,Navícula,Euglena,Strombomonas,Traechelomonas,Nitzschia,Prochilodus_lineatus,Ampullaridae,Ampullaridae,Nitzschia,Strombomonas,Gomphonema
Euglena,Euglena,Navícula,Pinnularia,Staurastrum,,Fragilaria,Phacus,Diploneis,Navícula,Navícula,Traechelomonas,Tetrastrum,Phacus,Sphaerocystis,Merismopedia,Traechelomonas,Navícula,Strombomonas,Pinnularia,Astyanax_sp,Sphaeriidae,Sphaeriidae,Merismopedia,Navícula,Pinnularia
Traechelomonas,Navícula,Gomphonema,Aulacoseira,Eudorina,,Pinnularia,Euglena,Merismopedia,Fragilaria,Gomphonema,Navícula,Schroederia,Euglena,Crucigenia,Aphanocapsa,Navícula,Cymbella,Navícula,Hirudinea,Hypostomus_commersoni,Cochliopidae,Cochliopidae,Hirudinea,Nitzschia,Aulacoseira
Navícula,Gomphonema,Aulacoseira,Spirulina,Phacus,,Surirella,Navícula,Aphanocapsa,Pinnularia,Amphipleura,Gomphonema,Crucigenia,Traechelomonas,Phacus,Dolichospermum,Pinnularia,Gyrosigma,Fragilaria,Oligochaeta,Trachemys_dorbigni_juvenile,Chironomidae,Corbiculidae,Oligochaeta,Pinnularia,Surirella
Gomphonema,Fragilaria,Spirulina,Merismopedia,Euglena,,Aphanocapsa,Fragilaria,,Cyclotella,Fragilaria,Amphipleura,Phacus,Navícula,Euglena,Hirudinea,Hirudinea,Aphanocapsa,Pinnularia,Ampullaridae,Trachemys_dorbigni_adult,Corbiculidae,Ancylidae,Ampullaridae,Surirella,Gyrosigma
Amphipleura,Nitzschia,Merismopedia,,Navícula,,,Punnularia,,Merismopedia,Sellaphora,Fragilaria,Euglena,Fragilaria,Traechelomonas,Oligochaeta,Oligochaeta,Hirudinea,Merismopedia,Sphaeriidae,Phrynops_hilarii,Copepod,Copepod,Sphaeriidae,Gymnodinium,Ceratium
Fragilaria,Aulacoseira,,,Fragilaria,,,,,Aphanocapsa,Aulacoseira,Pinnularia,Traechelomonas,Sellaphora,Strombomonas,Ampullaridae,Chironomidae,Oligochaeta,Aphanocapsa,Cochliopidae,,Prochilodus_lineatus,Prochilodus_lineatus,Cochliopidae,Hirudinea,
Nitzschia,Reimeria,,,Pinnularia,,,,,Microcystis,Cymbella,Aulacoseira,Navícula,Pinnularia,Navícula,Chironomidae,Corbiculidae,Ampullaridae,Hirudinea,Chironomidae,,Astyanax_sp,Astyanax_sp,Chironomidae,Oligochaeta,
Sellaphora,Cyclotella,,,Aulacoseira,,,,,Hirudinea,Gomphoneis,Geissleria,Gomphonema,Cyclotella,Gomphonema,Corbiculidae,Prochilodus_lineatus,Sphaeriidae,Oligochaeta,Hyriidae,,Hypostomus_commersoni,Hypostomus_commersoni,Planorbidae,Ampullaridae,
Aulacoseira,Ceratium,,,Surirella,,,,,Oligochaeta,Hantzchia,Surirella,Fragilaria,Aphanocapsa,Fragilaria,Prochilodus_lineatus,Astyanax_sp,Cochliopidae,Ampullaridae,Hydrophilidae_larvae,,Trachemys_dorbigni_juvenile,Trachemys_dorbigni_juvenile,Physidae,Chironomidae,
Gymnodinium,,,,,,,,,Ampullariidae,Geissleria,Aphanocapsa,Nitzschia,Chroocuccus,Sellaphora,Astyanax_sp,Hypostomus_commersoni,Chironomidae,Sphaeriidae,Belostomatidae,,Trachemys_dorbigni_adult,Trachemys_dorbigni_adult,Prochilodus_lineatus,Ancylidae,
Aphanocapsa,,,,,,,,,Hyriidae,Surirella,Chroocuccus,Pinnularia,Hirudinea,Pinnularia,Hypostomus_commersoni,Trachemys_dorbigni_juvenile,Prochilodus_lineatus,Corbiculidae,Mycetopodidae,,Phrynops_hilarii,Phrynops_hilarii,Astyanax_sp,Physidae,
Dolichospermum,,,,,,,,,Prochilodus_lineatus,Diatoma,Hirudinea,Cyclotella,Oligochaeta,Aulacoseira,Trachemys_dorbigni_juvenile,Trachemys_dorbigni_adult,Astyanax_sp,Prochilodus_lineatus,Corbiculidae,,,,Hypostomus_commersoni,Palaeomonida,
Microcystis,,,,,,,,,Astyanax_sp,Spirulina,Oligochaeta,Caloneis,Ampullaridae,Cymbella,Trachemys_dorbigni_adult,Phrynops_hilarii,Hypostomus_commersoni,Astyanax_sp,Prochilodus_lineatus,,,,Trachemys_dorbigni_juvenile,Prochilodus_lineatus,
,,,,,,,,,Hypostomus_commersoni,Merismopedia,Ampullaridae,Spirulina,Sphaeriidae,Hantzchia,Phrynops_hilarii,,Trachemys_dorbigni_juvenile,Hypostomus_commersoni,Astyanax_sp,,,,Trachemys_dorbigni_adult,Astyanax_sp,
,,,,,,,,,Trachemys_dorbigni_juvenile,Aphanocapsa,Sphaeriidae,Merismopedia,Chironomidae,Cyclotella,,,Trachemys_dorbigni_adult,Trachemys_dorbigni_juvenile,Hypostomus_commersoni,,,,Phrynops_hilarii,Hypostomus_commersoni,
,,,,,,,,,Trachemys_dorbigni_adult,Hirudinea,Cochliopidae,Aphanocapsa,Prochilodus_lineatus,Merismopedia,,,Phrynops_hilarii,Trachemys_dorbigni_adult,Trachemys_dorbigni_juvenile,,,,,Trachemys_dorbigni_juvenile,
,,,,,,,,,Phrynops_hilarii,Oligochaeta,Chironomidae,Pseudanabaena,Astyanax_sp,Aphanocapsa,,,,Phrynops_hilarii,Trachemys_dorbigni_adult,,,,,Trachemys_dorbigni_adult,
,,,,,,,,,,Ampullaridae,Hyriidae,Hirudinea,Hypostomus_commersoni,Chroocuccus,,,,,Phrynops_hilarii,,,,,Phrynops_hilarii,
,,,,,,,,,,Sphaeriidae,Corbiculidae,Oligochaeta,Trachemys_dorbigni_juvenile,Pseudanabaena,,,,,Hydrophilidae_adult,,,,,,
,,,,,,,,,,Corbiculidae,Prochilodus_lineatus,Ampullaridae,Trachemys_dorbigni_adult,Hirudinea,,,,,,,,,,,
,,,,,,,,,,Prochilodus_lineatus,Astyanax_sp,Sphaeriidae,Phrynops_hilarii,Oligochaeta,,,,,,,,,,,
,,,,,,,,,,Astyanax_sp,Hypostomus_commersoni,Cochliopidae,,Ampullaridae,,,,,,,,,,,
,,,,,,,,,,Hypostomus_commersoni,Trachemys_dorbigni_juvenile,Chironomidae,,Sphaeriidae,,,,,,,,,,,
,,,,,,,,,,Trachemys_dorbigni_juvenile,Trachemys_dorbigni_adult,Belostomatidae,,Chironomidae,,,,,,,,,,,
,,,,,,,,,,Trachemys_dorbigni_adult,Phrynops_hilarii,Mycetopodidae,,Corbiculidae,,,,,,,,,,,
,,,,,,,,,,Phrynops_hilarii,,Corbiculidae,,Prochilodus_lineatus,,,,,,,,,,,
,,,,,,,,,,,,Prochilodus_lineatus,,Astyanax_sp,,,,,,,,,,,
,,,,,,,,,,,,Astyanax_sp,,Hypostomus_commersoni,,,,,,,,,,,
,,,,,,,,,,,,Hypostomus_commersoni,,Trachemys_dorbigni_juvenile,,,,,,,,,,,
,,,,,,,,,,,,Trachemys_dorbigni_juvenile,,Trachemys_dorbigni_adult,,,,,,,,,,,
,,,,,,,,,,,,Trachemys_dorbigni_adult,,Phrynops_hilarii,,,,,,,,,,,
,,,,,,,,,,,,Phrynops_hilarii,,,,,,,,,,,,,