date,E_nodes,E_links,E_connectance,E_avg_degree,E_avg_trophic_level,E_max_trophic_level,E_modularity,E_mean_degree_centrality,E_mean_betweenness_centrality,F_nodes,F_links,F_connectance,F_avg_degree,F_avg_trophic_level,F_max_trophic_level,F_modularity,F_mean_degree_centrality,F_mean_betweenness_centrality,Air_temperature_(ºC),Water_temperature_(ºC),pH,Electric_conductivity_(µS.cm-1),DO_(mg.L-1) ,DO_%,Deep_(m),Water_tranparency_(m),Alkalinity_(mg CaCO3.L-1),Chlorophyll-a_(µg.L-1),SRP_(µg.L-1),COD_(mg.L-1),AMT_ (UFC.100mL-1),TC_NMP.100mL-2,Lluvia acumulada semana previa al muestreo,Lluvia acumulada mes previo al muestreo,Hydrometric_level_(m)
14/05/2016,"28,00000000","44,00000000","0,05820000","3,14000000","1,77916667","3,50000000","0,46461777","0,11640212","0,00030525","15,00000000","23,00000000","0,10222222","0,10952381","3,06666667","2,00444444","3,00000000","0,39792060","0,21904762",11,"14,27","7,01","323,00","2,21","21,40","0,50","0,21","77,33","26,28","936,41","74,08","1.137.106,37","6.645,44","3,00","76,80","2,40"
09/07/2016,"33,00000000","77,00000000","0,07290000","4,67000000","1,91221741","3,50000000","0,32577163","0,14583333","0,00152737","13,00000000","21,00000000","0,12426036","0,13461538","3,23076923","2,84294872","4,50000000","0,33900227","0,26923077","12,3","12,90","7,04","790,00","5,09","47,90","0,55","0,25","102,00","105,35","839,85","105,6","770.264,80","4.300,00","43,80","70,60","2,30"
10/09/2016,"33,00000000","112,00000000","0,10610000","6,79000000","1,97689036","3,50000000","0,30767698","0,21212121","0,00146628","14,00000000","29,00000000","0,14795918","0,15934066","4,14285714","2,87500000","4,50000000","0,28775268","0,31868132",20,"16,10","8,02","477,00","11,57","117,87","0,60","0,28","120,00","122,91","39,22","80,72","740.038,27","400,00","4,20","70,60","1,64"
20/01/2017,"37,00000000","127,00000000","0,09530000","6,86000000","1,89167632","3,66666667","0,31753364","0,19069069","0,00120120","14,00000000","29,00000000","0,14795918","0,15934066","4,14285714","2,87500000","4,50000000","0,28775268","0,31868132","29,33","29,11","8,66","314,33","8,34","108,13","0,44","0,26","108,00","474,10","610,01","80,72","1.918.446,78","7.691,03","56,60","359,00","1,31"
16/03/2017,"29,00000000","52,00000000","0,06400000","3,59000000","1,82444702","3,50000000","0,44212278","0,12807882","0,00196132","13,00000000","23,00000000","0,13609467","0,14743590","3,53846154","2,90064103","4,50000000","0,33553875","0,29487179","16,66","21,43","7,01","144,50","1,44","14,77","0,52","0,24","68,67","105,35","892,52","155,37","1.921.249,19","1.161,90","73,40","122,80","2,20"
06/04/2017,"37,00000000","88,00000000","0,06610000","4,76000000","1,79645270","3,50000000","0,37286932","0,13213213","0,00124410","13,00000000","23,00000000","0,13609467","0,14743590","3,53846154","2,90064103","4,50000000","0,33553875","0,29487179","25,66","24,63","7,45","211,00","4,42","53,83","0,40","0,16","98,33","189,64",1308,"120,57","1.734.540,33","3.811,63","14,60","103,60","1,56"
29/06/2017,"22,00000000","40,00000000","0,08660000","3,64000000","1,87900433","3,50000000","0,43000000","0,17316017","0,00194805","13,00000000","22,00000000","0,13017751","0,14102564","3,38461538","2,66025641","4,00000000","0,37190083","0,28205128",14,"14,27","7,10","278,67","2,12","20,87","0,41","0,24","118,67","140,47","668,18","264,95","1.686.093,59","2.704,43",,"16,50","2,58"
08/09/2017,"22,00000000","41,00000000","0,08870000","3,73000000","1,92965368","3,50000000","0,43486020","0,17748918","0,00194805","13,00000000","22,00000000","0,13017751","0,14102564","3,38461538","2,66025641","4,00000000","0,37190083","0,28205128",16,"16,97","6,54","489,33","5,71","58,97","0,56","0,37","104,00","36,52","78,7",,"1.679.546,36","2.000,00","25,60","172,00","2,08"
15/11/2017,"23,00000000","54,00000000","0,10670000","4,70000000","2,04054952","3,50000000","0,38820302","0,21343874","0,00282326","14,00000000","29,00000000","0,14795918","0,15934066","4,14285714","2,87500000","4,50000000","0,28775268","0,31868132",28,"26,50","6,83","543,67","2,63","32,33","0,63","0,38","104,00","5,27","273,97","158,83","102.535,19","7.958,11","0,00","132,00","1,72"
23/12/2017,"25,00000000","54,00000000","0,09000000","4,32000000","1,91069597","3,50000000","0,37842936","0,18000000","0,00246377","13,00000000","21,00000000","0,12426036","0,13461538","3,23076923","2,84294872","4,50000000","0,33900227","0,26923077",23,"26,50","6,16","532,67","3,36","41,77","0,53","0,34","112,00","15,45","443,92","1148,67","241.157,60","4.513,98","95,00","169,20","1,24"
23/02/2018,"25,00000000","80,00000000","0,13330000","6,40000000","2,40280283","3,83333333","0,37416064","0,25071225","0,00193732","13,00000000","27,00000000","0,15976331","0,17307692","4,15384615","2,82692308","4,50000000","0,25034294","0,34615385","25,33","26,53","7,08","595,00",,,"0,51","0,27","126,67","23,18","375,26","90,18","1.103.569,67","14.832,40",,"48,40","1,40"
19/05/2018,"13,00000000","21,00000000","0,13460000","3,23000000","2,01538462","3,20000000","0,27777778","0,26923077","0,00466200","10,00000000","15,00000000","0,15000000","0,16666667","3,00000000","2,56250000","4,00000000","0,31111111","0,33333333","11,33","15,65","6,80","406,00","2,38","24,03","0,64","0,20","128,00","0,00","361,96","93,67","169.251,61","6.151,34",,"227,00","1,92"
11/08/2018,"19,00000000","51,00000000","0,14910000","5,37000000","2,03194444","3,27222222","0,24509804","0,29824561","0,00550396","13,00000000","31,00000000","0,18343195","0,19871795","4,76923077","2,86923077","4,50000000","0,17637877","0,39743590","8,66","11,73","7,48","454,67","13,72","126,40","0,47","0,28",,"435,50","252,67","43,4","55.407,69","300,00","6,60","64,20","1,60"
20/10/2018,"18,00000000","46,00000000","0,15030000","5,11000000","2,31823560","3,63333333","0,27197543","0,30065359","0,00714869","13,00000000","29,00000000","0,17159763","0,18589744","4,46153846","2,74615385","4,56944444","0,13614744","0,37179487","18,33","22,07","6,41","398,67","4,21","50,13","0,53","0,28",,"28,09","1054,37","66,23","70.410,48","792,76",,"101,80","2,36"
09/03/2019,"23,00000000","55,00000000","0,10870000","4,78000000","2,08740223","3,50000000","0,40859504","0,21739130","0,00244683","14,00000000","30,00000000","0,15306122","0,16483516","4,28571429","2,87678571","4,50000000","0,26166667","0,32967033","19,66","23,93","6,61","258,33","2,19","25,87","0,58","0,65",,"15,80","1595,54","54,33","1.002.241,64","11.000,00",,,"2,80"
01/06/2019,"22,00000000","38,00000000","0,08230000","3,45000000","2,10064935","3,50000000","0,43905817","0,16450216","0,00064935","12,00000000","20,00000000","0,13888889","0,15151515","3,33333333","2,02083333","3,37500000","0,30500000","0,30303030",13,"14,20","6,72","360,33","7,76","75,60","0,63","0,35",,"79,00","205,95",,"136.000,00","238,10",,,"2,10"
